source_id,url,fetched_title,claim_id,claim_text,overlap_score,note
cmpm1mbnv091fsaert0kkohw5,https://pubmed.ncbi.nlm.nih.gov/17396000,Historical perspectives on the clinical development of bisphosphonates in the treatment of bone diseases.,cmpm1mbog091gsaer1tes0um8,"Bisphosphonates (formerly termed diphosphonates) were first synthesized in the late 1800s; however, their clinical use has been relatively recent. The bisphosphonates' affinity for hydroxyapatite crys",0.14,PubMed PMID 17396000: title has low overlap with claim
cmpm1p9l211hesat0caum7hew,https://pubmed.ncbi.nlm.nih.gov/12796356,Soft tissue sarcomas of adults: state of the translational science.,cmpm1p9ln11hfsat0l4h4okp8,"Sarcomas--like leukemias, which are also mesodermal malignancies--carry biological significance disproportionate to their clinical frequency. Identification of mutations and translocations associated ",0.00,PubMed PMID 12796356: title has low overlap with claim
cmpm1h7eb06sjsaerwvpzt8zx,https://pubmed.ncbi.nlm.nih.gov/9635566,Biological properties of recombinant alpha-interferons: 40th anniversary of the discovery of interferons.,cmpm1h7eu06sksaeruud6mrlu,"IFNs were first described as potent antiviral agents 40 years ago, and recombinant IFN-alpha2a and IFN-alpha2b were approved for the treatment of hairy cell leukemia just 11 years ago. Today, alpha-IF",0.13,PubMed PMID 9635566: title has low overlap with claim
cmpm36i2x0yo3saeritj1gpbg,https://pubmed.ncbi.nlm.nih.gov/11890563,Six-year perspectives on the safety and tolerability of nefazodone.,cmpm36i3j0yo4saeroeyey7sf,"Although quetiapine was introduced as an atypical antipsychotic drug with clinical efficacy in schizophrenia patients, it has been used in a variety of disease states over the last 5 years. The most c",0.00,PubMed PMID 11890563: title has low overlap with claim
cmpm0c9un0fc0sat0puax2ca3,https://pubmed.ncbi.nlm.nih.gov/9079042,"A clinical and experimental study of tendon injury, healing and treatment in the horse.",cmpm0c9v70fc1sat0d90pbvkk,This project was carried out over a five year period (1977 to 1981 inclusive) at the University of Bristol following discussion between the British Veterinary Association and the Royal College of Vete,0.00,PubMed PMID 9079042: title has low overlap with claim
cmplzmmdn03c0sat0gsrmyitu,https://pubmed.ncbi.nlm.nih.gov/10606224,The hypoxic cell: a target for selective cancer therapy--eighteenth Bruce F. Cain Memorial Award lecture.,cmplzmme703c1sat079c6j4oa,"It has been appreciated for more than 50 years that very low levels of oxygenation, or hypoxia, both protect cells from killing by X-irradiation and are present in solid tumors but not in normal tissu",0.00,PubMed PMID 10606224: title has low overlap with claim
cmplzwt53083usat0w4s61rag,https://pubmed.ncbi.nlm.nih.gov/22314561,"Stress and the gut: pathophysiology, clinical consequences, diagnostic approach and treatment options.",cmplzwt5o083vsat0gp4ivn5c,"Stress, which is defined as an acute threat to homeostasis, shows both short- and long-term effects on the functions of the gastrointestinal tract. Exposure to stress results in alterations of the bra",0.14,PubMed PMID 22314561: title has low overlap with claim
cmpm04of10brosat0ufcmhmxg,https://pubmed.ncbi.nlm.nih.gov/12512688,Nitric oxide as a unique signaling molecule in the vascular system: a historical overview.,cmpm04ofk0brpsat0zoqmjvux,"In retrospect, basic research in the fields of NO and cyclic GMP during the past two decades appears to have followed a logical course beginning with the findings that NO and cyclic GMP are vascular s",0.11,PubMed PMID 12512688: title has low overlap with claim
cmpm05s8x0caosat09zelokvn,https://pubmed.ncbi.nlm.nih.gov/1797718,Thinking about thinking: some clinical and theoretical considerations in the treatment of a borderline patient.,cmpm05s9i0capsat08ursrmo6,"This paper addresses a specific aspect of pathological mental functioning in so-called borderline patients. Analytic work with a borderline man is presented to show that an inhibition of, and defences",0.14,PubMed PMID 1797718: title has low overlap with claim
cmpm25hut0k06sadny34jhzwl,https://pubmed.ncbi.nlm.nih.gov/7583624,Schizophrenia: a disconnection syndrome?,cmpm25hve0k07sadn8exo8q9i,We review the evidence of pathophysiological changes in the prefrontal and temporal cortices of schizophrenic subjects and of abnormal integration of the physiological dynamics in these two regions. T,0.00,PubMed PMID 7583624: title has low overlap with claim
cmpm2d0hh0kwfsaeradgjozzx,https://pubmed.ncbi.nlm.nih.gov/17220536,Cytisine for the treatment of nicotine addiction: from a molecule to therapeutic efficacy.,cmpm2d0i20kwgsaeroy0dptvd,"Cytisine, a natural plant alkaloid, has been marketed in Central and Eastern Europe for over 40 years for the clinical management of smoking cessation. Despite the fact that cytisine has been used by ",0.14,PubMed PMID 17220536: title has low overlap with claim
cmpm2djsc0nqosadnpk455zp1,https://pubmed.ncbi.nlm.nih.gov/10127041,Building a learning organization.,cmpm2djsw0nqpsadne1yftjfk,"Continuous improvement programs are proliferating as corporations seek to better themselves and gain an edge. Unfortunately, however, failed programs far outnumber successes, and improvement rates rem",0.00,PubMed PMID 10127041: title has low overlap with claim
cmpm1yg0c15j2sat0fbchpe6a,https://pubmed.ncbi.nlm.nih.gov/7723457,The significance of treatment effects: the clinical perspective.,cmpm1yg0u15j3sat0maklennl,"It is important for clinicians to understand changes or differences in health status scores so they can interpret published research, clinical changes among their patients, and sample size estimates i",0.00,PubMed PMID 7723457: title has low overlap with claim
cmpm4j1e61o2isadnvjz57hx2,https://pubmed.ncbi.nlm.nih.gov/11232138,Problems for clinical judgement: introducing cognitive psychology as one more basic science.,cmpm4j1eq1o2jsadnj9wi11es,"Medical practice is not easy because of its inherent widespread uncertainty. Some questions are settled eventually through clinical trials, whereas others are impossible to resolve. Between these 2 ex",0.13,PubMed PMID 11232138: title has low overlap with claim
